name,price,unit,category,tokopedia_link,shopee_link,siplah_link,blibli_link,inaproc_link,spec
Cattle jug,149000,Unit,Alat Peraga - Perhotelan,,,,,,"untuk Memanaskan Air Daya Listrik: 350 — 500 Watt, Kapasitas 2 Lt"
Gunting Bedah,150000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,Bahan Stainless Steel
Red Wine Glass,158400,Unit,Alat Peraga - Perhotelan,,,,,,Gelas Untuk Menyajikan AnggurMerah Bahan Dasar Kaca
White Wine Glass,158400,Unit,Alat Peraga - Perhotelan,,,,,,Gelas Untuk Menyajikan Anggur Putih Bahan Dasar Kaca
Caution Board,180000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Memberi Tanda Peringatan Supaya Tamu Atau Siapapun YangLewat Agar Berhati—Hati Bahan : PlastikUkuran : Min. 500 X 250 X 250 Mm
Tea Pot,180000,Unit,Alat Peraga - Perhotelan,,,,,,"Poci UntukMenyajikan Teh Panas Bentuk Agak Bulat, Bahan Dasar Keramik"
Tea Cup And Saucer,200000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Menampung Air Atau Cairan Untuk Diminum Cangkir Porselin Dengan Tatakannya.Volume Sekitar 200 Liter
Heater,280000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Bahan kaca atau stainless minimal 50w penghangat air berbahan kaca stainless steel sehingga heater ini awet, anti pecah dan anti karat. mempunyai pengatur suhu dari minimal 20-34'C jadi tingkat kehangatan air bisa disesuaikan dengan suhu yang dibutuhan ikan menggunakan isolasi anti air(waterproof) rangkap sehingga aman aliran listrik tidak bocor/menyetrum. mempunyai lampu indikator pada saat menyala menghangatkan air dan akan mati otomatis pada saat suhu telah sesuai dengan setelan kita dan otomatis akan menyala lagi pada saat suhu turun dan heater mulai
bekeria kembali"
Globe,350000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Dipergunakan sebagai model tiruan
bumi yang memberikan gambaran bentuk bumi sehingga mendekati bentuk
sebenarnya Terbuat dari bahan fiber, ukuran
diameter 25-40 inch"
Water Goblet,420000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Tempat Air Minum Bahan Dasar Kaca
Isyarat Bendera Internasional,455000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Berbagai jenis bendera isyarat
internasional di kapaldengan warna yang berbeda digunakan untuk berkomunikasi
secara visual
antar kapal pada saat bernavigasi. Terbuat Dari Kain , Ukuran 35 X 40 Cm,Macam Jenis Mulai Dari Huruf A-Z"
High Ball Glass,470000,Unit,Alat Peraga - Perhotelan,,,,,,Gelas Untuk Menyajikan Soft Drink Bahan Dasar Kaca
Restaurant chair,500000,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Kursi Makan Dun Minum Di Restorari Sent Dimension: Approx.W.39 Cm X D.3 9 Cm X H.4TCm, Back Heat Dimension: Min. .39 Crri XH.43 Crri, Total Hiyh: Min. 8 TCltt"
Coffee Or Tea Spoon,506160,Unit,Alat Peraga - Perhotelan,,,,,,sendok Untuk Menyantap Kopi Atau Teh Bahan Dasar Stainless Steel
Serokan Induk,550000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,Panjang 64 cm Ukuran mata jaring 2 cm
Life Jacket,600000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Digunakan Untuk Keselamatan dan Penyelamatan
diri dilaut Baju pelampung
Untuk Keselamatan dilaut"
Bubu,719280,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,Digunakan untuk penangkapan ikan Terbuat dari bambu atau besi atau bahan selain dari jarring atau tali dan pancing
B & B Plate,745920,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Menyajikan Hidangan Roti Dan Butter Diameter 15 Cm, Bahan Dasar Keramik"
Meja Mesin Jahit Low Speed,750000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,"Digunakan Untuk Meletakkan Mesin Jahit Low Speed Terdiri Dari : Meja/Top Table Terbuat Dari Kayu / Plywood, Dilaminasi Dan Edging, Ukuran Min. 100 X 45 X 4 Cm (Panjang X Lebar X Tebal) Kaki Meja Terbuat Dari Besi, Knock Down, Ukuran Setelah Dirakit Min. 90 X 40 X 70 Cm"
Meja Mesin Obras Low Speed,750000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,"Digunakan Untuk Meletakkan Mesin Obras Low Speed Terdiri Dari Meja/Top Table Terbuat Dari Kayu/ Plywood, Dilaminasi Dan Edging, Ukuran Min. 100 X 45 X 4 Cm (Panjang X Lebar X Tebal) Kaki Meja Terbuat Dari Besi, Knock Down, Ukuran Setelah Dirakit Min. 90 X 40 X 7O Cm"
Jaring Lingkar,750000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Digunakan untuk penangkapan ikan pelagis
yang bergerombol Jaring
bagian badan Kantong
pelampung pemberat ring
tali kerut"
Tumbler Glass,772800,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Minum Plain Water Dan Untuk Ditempatkan Di Kamar Mandi Volume 350 Liter. Terbuat Dari Kaca
Pukat Tarik,980000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Digunakan untuk menangkap ikan
dan udang tali penarik (Warp) sayap (wing)
badan jaring (body) kantong jaring (cod end) tali lengan (hand line) tali ris atas (Head rope)
tali ris bawah (Ground rope) pelampung (float)
pemberat (singker)
papan pembuka mulut jaring (otter board)"
Jangka Sarong (vernier caliper),995000,Unit,Aksesoris Pendukung Komputer,,,,,,
Coffee Cup + Saucer,1000000,Unit,Alat Peraga - Perhotelan,,,,,,UntukMenghidangkan kopi Diameter 6 Cm Bahan Dasar Keramik
Duve set double,1200000,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk sarung duvet Zzoxaooc ,B‹Zfian Polyester,"
Water Jug,1200000,Unit,Alat Peraga - Perhotelan,,,,,,Poci Kecil Untuk Menyajikan AirPutih Bahan Dasar Kaca / Stainless Steel
Mesin Profil Kayu,1300000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,Gergaji  untuk memotong bentuk  profil Voltage  (V /PH/Hz):  220  /  1 /  50 table surface  (mm):  ± 350   x  240 Speed  (spm):  up  to  1400
Lux meter,1395000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Range: 0 - 200 LUX; 2,000
LUX; 20,000 LUX; 200,000 LUX."
Portable Electric Drilling Machine,1395000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Untuk membuat lubang Voltage:  220  V
Frequency:  50  HZ Input power:±  800W Key chuck:  13 mm
No load speed: 0-3000  rpm
Max impact  rate: 48000  bpm Drilling capacity:  ± steel:  13mm  / concrete:  13mm  /  wood:  25mm"
Handy Talky,1395000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Untuk berkomunikasi lewat radio Frekuensi Singleband Uhf, Sinyal - Quick Call Ii, Dtmf, LimitedMdc1200, Daya: 4 - 7 W (Uhf),Battery-8 Jam (High Power), 10 Jam(Low Power)- With Standard Hi- Kapasitas BatterayNimh Bat-Tery Hnn9008A,Frekuensi: Uhf: 403 - 470Mhz, Channels 128, ChargerAdaptor,Antena"
Lux meter,1395000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Digunakan untuk melakukan pengujian kualitas air Range: 0 - 200 LUX; 2,000
LUX; 20,000 LUX; 200,000 LUX."
Sugar Bowl,1476655,Unit,Alat Peraga - Perhotelan,,,,,,Tempat Untuk Menyajikan Gula Di Atas Meja Bentuk Kotak/ Bulat Bertutup Bahan Dasar Keramik
Dry Iron WithStand,1500000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,"DigunakanUntuk Melicinkan, Menyeterika Hasil Laundry Power : Approx. 350 W Voltage : 220 VInclude Iron Table / Stand"
Home Appliance Steam Ironing Table,1500000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,"Digunakan Untuk Melicinkan, Menyeterika Hasil Laundry. Ironing Table : Motor Power : Approx. 0.37 Kw Voltage : 220 V / 380 V Pressure Of Air : Approx. 150 Pa Electricity Heating Power : Approx.1 Kw"
Bill rack,1500000,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk penyimpanan uang Bahan Damar Kayu Atau Fiber, Dengan Compartriient Bertingkat"
Cereal Bowl,1544059,Unit,Alat Peraga - Perhotelan,,,,,,Piring Cekung UntukMebubur/ Cerealny Ajikan Bahan Dasar Keramik/ Kaca
Sedgewick Rafter Counting Cell,1609000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Frame: brass, mounted on 1"" x 3"" glass slide. Cell size: 50 mm x 20 mm x 1 mm (1.968"" x
0.787"" x 0.04"") Includes: 2 cover glasses, plastic case"
Peta Laut,1700000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Dipergunakan untuk merencanakan pelayaran
demi keselamatan
atau keamanan navigasi. Terbuat Dari Lembaran Kertas , TerbagiDalam Beberapa Nomor Peta"
Mesin Ketam Portable,1750000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Meratakan permukaan kayu Daya:450watt,  lebar  ketam:  82mm, kedalaman  ketam:2mm,  16000rpm"
Bedside Table,1799500,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Penyimpanan Barang Ukuran: P 40xL30xT50 Cm,&bahan Kayu Jati"
Alat pengukur panjang ikan,2000000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Bahan: HOPE Skala: 1 mm Panjang: 60 cm, 75 cm
Dimensi ukuran 60 cm: 22.5 x
75 x 3.1cm ukuran 75 cm:
22.5 x 60 x 3.1 cm"
Jangka semat,2000000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Dipergunakan untuk menjangka atau
mengukur jarak
dipeta. Terbuat Dari Bahan Logam/ Kuningan,Ukuran Panjang 15-20 Cm"
Mistar jajar,2080000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"ipergunakan untuk melukis garis dipeta dan melukis baringan diatas
peta laut dengan bantuan mawar
pedoman yang ada di peta laut Bahan Dari Logam/ Kuningan KombinasiDengan Plastik/ Akrilik, Ukuran 450-600 Mm"
Gunting Listrik Portable,2104000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,"Untuk Menggunting Kulit, Karpet, Karet, Katun, Plastik, Kardus, Kain Fabric, Silk, Ranting (Tergantung KetebalanBahan) Material : Body Mesin Dan Sparepart Dalam Besi Maks Ketebalan Bahan : 5Mm Dioperasikan Dengan Baterai"
"Mesin Potong Rumput Sistem Gendong
",2150000,Unit,Alat Peraga - Hortikultura,,,,,,"Untuk membersihkan Ilalang atau tanaman
Rumput atau Silinder mesin: approx. 32 cc Sistem pemakaian: digendong Kapasitas tanki: approx. 1,8 ltr Starter: recoil Diameter pisau: approx. 30 cm Panjang tongkat: approx. 130 cm Bahan bakar: bensin."
Coffee Pot,2264400,Unit,Alat Peraga - Perhotelan,,,,,,"Poci Untuk Menyajikan Kopi Panss Dengan Bentuk Bentuk Lurus Dan Tingg I Ke Atas, Bahan Dasar Keramik"
Mesin Jahit Low Speed,2280000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,," Spesikasi: Mesin Jahit Portable Rumah Tangga Jumlah Tipe Jahitan 12 Jahitan Terdapat Fungsi Lubang Kancing 4 Langkah Terdapat Lampu Led Untuk Menerangi Area Jahitan Terdapat Fungsi Isi Bobbin Otomatis Terdapat Ruang Kecil Penyimpanan Alat Terdapat Pisau Untuk Potong Sisa Benang Terdapat Sparepart Pergantian Sepatu Mesin Jahit Maksimal Kecepatan Jahit 650 Rpm Total Power 70 Watt Berikut Dengan Pedal Injakan Elektrik, Adaptor, Plastik Mesin Dan Extend Table"
IB Gun,2300000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Untuk Memasukkan Semen Beku Ke Dalam Saluran Reproduksi Betina (Vagina,Dan Serviks) Gun Universal 1 Pc Sheath 1 Pack (50 Pcs) Gloves 90 Cm 1 Pack (50 Pcs) Thermos Straw Cut Scissor 1 Pc Straw Tweezer 1 Pc Straw Cutter 1 Pc Lubricant Jelly 1 Tube Stainless Steel Box"
Tabung oksigen,2495000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Termasuk isi oksigen. tabung oksigen 1 m3 sudah berisi
oksigen. Tinggi tabung 65 cm."
Pesawat Telepon,2500000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Melakukan Komunikasi Jarak Jauh Dial: Tone. Power: 9V Dc Transformer. Lcd Min. 132 X 24 Pixel
Dinner Collector Cart,2580000,Unit,Alat Peraga - Perhotelan,,,,,,Digunakan sebagai alat kebersihan 3 Levels Large Dinner Cart(with Bucket)Size.’ Min. 900 X 400 X 200
Sheet Sander Machine,2660000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Untuk menghaluskan permukaan benda  kerja. Voltage: 220V Frequency:  50Hz Input Power: ± 200W
No load  speed:  ±  11000 opm
Pad size: min. 90xl80mm  (1/3 sheet)"
Portable Rotary Sander,2700000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Untuk menghaluskan permukaan benda  kerja Voltage/Frequency: 220V/ 50Hz Input  Power:  ±  450W
No load speed:  4000-13000  opm Pad size:  ±  125mm"
Timbangan Laundry Digital Henher,2795000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Mengukur Massa SuatuBahan Dengan Ketelitian 0. 1 G Capacity : 10000 G
Portable Planner,2885000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Untuk meratakan/ menyayat permukaan kaju  dalam bentuk balok/papan Equipped  with  adjustable  cutting depth for faster  material  removal Equipped  with  lock on  /  off  knob for easy operation
Planing Width:  ±  (mm)  82 Planing Depth:  ±  (mm)  3 Input  Power  (W): ± 850 Voltage  (V):  220
Frequency  (Hz):  50
No.  Load  Speed  (rpm):  ±  16.000"
Mesin Gerinda Potong,3000000,Unit,Alat Peraga - Mek. Pertanian,,,,,,"Untuk mengenalkan dan memberi
keterampilan memotong bahan baku produksi menggunakan mesin
gerindapotong. • Square l 15xl 15mm
• Rectangle l 50x102mm
• Max cutting capacity:
• Round pipe 115mm
• No-Load Speed: 3800rpm
• Cutting disc size: min. 355mm
• Voltage: 220V/ 50HZ
• Power: 2000W"
Binocular,3000000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Dipergunakan untuk mengamati
benda-benda yang tidak tampak secara visual Body Dari Logam Dilapisi Karet, Optic Coated Lens, Bushnell 8X40,Kemampuan Jarak Pandang Sampai 1000 Mtr Dgn Ukuran Pembesaran 8-70 Kali, Diameter Lensa Depan: 7,0Cm, Diameter Lensa Belakang: 1,2Cm(0,5Cm)"
Home Appliance Steam Ironing Table,3000000,Unit,Alat Peraga - Perhotelan,,,,,,"Digunakan Untuk Melicinkan, Menyeterika Hasil Laundry Iroring Tnb/E:Motor Pover: Appro:X. O.3 T Kw Voltage: 220 V / 380 V Pressure Of Air: Approx. 1To Pa Electricity Heating Pover:Approx. 1 Kw"
Infrared thermometer,3100000,Unit,Aksesoris Pendukung Komputer,,,,,,
Soil Acidometer,3150000,Unit,Alat Peraga - Hortikultura,,,,,,"Untuk mengukur keasaman tanah. Test depth: Maximum 6 cm.
- pH range: 3-8 pH
- pH accuracy: ±0.2 pH
- Moisture range: 1-8%
--Moisture accuracy: ±1%."
Soil Acidometer,3150000,Unit,Alat Peraga - Perbenihan Tanaman,,,,,,"Untuk mengukur keasaman tanah. Test depth: Maximum 6 cm.
- pH range: 3-8 pH
- pH accuracy: ±0.2 pH
- Moisture range: 1-8%
- Moisture accuracy: ±1 %"
Mesin Jahit Low Speed,3182500,Unit,Alat Peraga - Keahlian Tata Busana,,,,,," Spesikasi: Mesin Jahit Portable Rumah Tangga Jumlah Tipe Jahitan 24 Jahitan Terdapat Fungsi Lubang Kancing 4 Langkah Terdapat Lampu Led Untuk Menerangi Area Jahitan Terdapat Fungsi Isi Bobbin Otomatis Terdapat Ruang Kecil Penyimpanan Alat Terdapat Pisau Untuk Potong Sisa Benang Terdapat Sparepart Pergantian Sepatu Mesin Jahit Maksimal Kecepatan Jahit 700 Rpm Total Power 50 Watt Berikut Dengan Pedal Injakan Elektrik, Adaptor, Plastik Mesin Dan Extend Table"
Hand Router Machine,3395000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Berfungsi untuk membuat  alur dan
membentuk sudut  pada balok/ papan kayu Volt  230,  No  Load  ampl.8 Watt,  1200 Rpm 22000 / min , Tool Holder 8mm"
Linen Trolley,3395000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Membawa Linen Size: 600X 500 X 1000 Mm
Gunting Listrik Bulat,3443000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,Untuk Menggunting Bahan Dalam Jumlah Banyak Dan Tebal Fabric Cloth Cutter 6 Inch Or 8Inch Cutting Machine Power : + 250 W- Voltage : 220 Vaksesoris : 3 Free Blades
Down-Press Double Mop Wringer Trolley,3450000,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk alat kebersihan. Big bucket capacity:  25L, Middle bucket capacity:  10L, Small bucket capacity:  2L "
Bak Fiberglass Persegi,3500000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,Ukuran: approx. 100x60x50 Cm
Corong Tetas,3500000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,Bahan fiber Ukuran Diameter 40 Cm Tinggi 50 Cm Ukuran Mulut Corong 2 Cm Mesh size: mesh 200
Alat Pemadam Api Ringan (APAR),3600000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Dugunakan Untuk Pemadaman
Kebakaran Tabung APAR Foam 10 kg
/Tabung APAR Dry Cemical"
Meja Pola,3650000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,Digunakan Sebagai Alas Untuk Membuat Pola Dan Meletakkan Peralatan Ukur Dan PeralatanMembuat Pola Bahan : Besi / Kayu Dan Multipleks Ukuran : Sekitar 240X 12Ox70 Cm
Meja Potong,3650000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,Digunakan Sebagai Alas Untuk Menggiinting Bahan Meletakkan Peralatan Potong Bahan : Besi / Kayu Dan Multipleks Ukuran : Sekitar 240X 120X70 Cm
Portable Belt Sander,3700000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Untuk menghaluskan permukaan
benda  keria Voltage/Frequency: 220V/50HZ Input power: approx.  950W  Sanding speed: 120-380m/min  Sanding size : approx.
76x533mm"
Soil Tensiometer,3995000,Unit,Alat Peraga - Hortikultura,,,,,,"Untuk mengukur kadar lengas tanah. Soil tensiometer is made up of pressure acrylic tube and ceramic probe. Length: Minimum 100 cm -
Testing range: 0-1 Bar (1 Bar= 100 Kpa)"
"Pompa Udara/
Blower/ Aerator",3995000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Power approx. 100 W Maximal output 8.400 liter /jam Maksimal pressure 0, 042 mpa Aksesories pembagi udara 33 cabang"
Soil Tensiometer,3995000,Unit,Alat Peraga - Perbenihan Tanaman,,,,,,"Untuk mengukur kadar lengas tanah. - Soil tensiometer is made up of pressure acrylic tube and ceramic probe.
- Length: Minimum 100 cm
- Testing range: 0-1 Bar (1 Bar =
100 Kpa)"
Oto level (Auto Level),4500000,Unit,Alat Peraga - Hortikultura,,,,,,"Untuk menentukan jarak horizontal maupun
vertikal suatu titik (stasiun). Teleskop: Tegak Perkecil: min. 32X Bukaan Lensa Objektif: kira-kira. 40mm Bidang pandang: kira-kira. 1°30' Akurasi: kira-kira. 0,3 ""x
Termasuk tripod."
Mesin Jahit Low Speed,4750000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,," Functions:100 Macam Jahitanstart/Stop Switchreverse Buttontwin Needle Sewing Switchlcd Display.Automatic Optimal Stitch Lenght And Width1 Step Buttonholingautomatic Needle Threaderautomatic Clutch Bobbin Winderthread Cutterhorizchal Spool Pin (2Nd Spool Pin In Vertical Type For Twin Needle Function)Maximum Stitch Width (Max.) : 17.0Mm +- 5%Maximum Stitch Length (Max.) : 5.0Mm - 5%Sewing Speed : Straight Stitch Sewing. 800 +- 10 Pmmotor (Dc Or Ac) : Do 24Vpower Transformer : Ac 220-240V 50Hz Or Ac 100V 50/60Hzillumination : Ledmaterial (Free Arm) : Arm : Al., Cover : Abs.. Size : L 43.8Cm X W 20Cm X H 31.5Cm"
Cleaning Cart,4800000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Alat Kebersihan Cleaning Cart (With Cover) Size: Min. 1000 X 400 X 800 Mm
Troli Pengantar Makanan,4895000,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Mengantarkan / Mernbawa Makanan Jadi Dan Mempermudah Proses Pengantaran / Pemindahan Material Body : Stainless SteelDimensi : Min. 800 X 400 X 800 Mm, 4 Swivel Castor (2 With Brakes) Knocked Down"
Mesin sentrifugal (Centrifuge),4990000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Untuk menetapkan kadar lemak dalam sampel dairy seperti susu, keju dan produk - produk turunannya dengan metode Gerber. Konfigurasi minimal : Metode Centrifuge Gerber
Pengatur waktu; Rem otomatis; Pemanasan dengan pengaturan suhu variabel (maks. 600 W) Kontrol mikroprosesor dengan pembacaan digital
- Include rotor and bushing
- Include Butvrometer for milk"
Mesin Jahit Low Speed,4995000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,Untuk Menjahit Dengan Kecepatan Rendah. Minimum To Built In Stitches Automatic Threader Easy Thread Cutter Buttonhole Function Electronic Foot Controller Speed: + 700 Rpm Total Power: + 45W Voltage 220V/ 50 HzInclude Exterid Table
Bench Drilling Machine,4995000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Untuk membuat lubang  pada
benda  keria Drill capacity:  13mm, Working Surface of  table  : 203  mm,  Dimension  (b x  h)  : 457 x 610  mm"
